"Species","Longitude","Latitude"
"Octopus_maya",-91.60016898,18.79442634
"Octopus_maya",-91.54319808,19.05867744
"Octopus_maya",-91.4019,18.9311
"Octopus_maya",-91.3591,19.1163
"Octopus_maya",-91.2484,19.0038
"Octopus_maya",-91.1965,19.1785
"Octopus_maya",-91.19060184,19.33844124
"Octopus_maya",-91.09964439,19.60909003
"Octopus_maya",-91.042,19.1131
"Octopus_maya",-91.0135,20.8488
"Octopus_maya",-90.97176172,19.7369709
"Octopus_maya",-90.9673,19.2349
"Octopus_maya",-90.95,19.45
"Octopus_maya",-90.93068607,19.59514623
"Octopus_maya",-90.8844,20.56
"Octopus_maya",-90.8307,19.2801
"Octopus_maya",-90.8217,19.7606
"Octopus_maya",-90.8202,20.8335
"Octopus_maya",-90.77701426,19.93059015
"Octopus_maya",-90.7722,20.1616
"Octopus_maya",-90.7684,19.4225
"Octopus_maya",-90.7593,20.6739
"Octopus_maya",-90.7563,19.5885
"Octopus_maya",-90.7477,21.2563
"Octopus_maya",-90.6975,20.4321
"Octopus_maya",-90.6692,20.8169
"Octopus_maya",-90.6662,19.7754
"Octopus_maya",-90.5967,21.1793
"Octopus_maya",-90.57469613,20.35316716
"Octopus_maya",-90.54658985,20.20618309
"Octopus_maya",-90.5394,21.012
"Octopus_maya",-90.53241168,20.48419477
"Octopus_maya",-90.5235,20.8426
"Octopus_maya",-90.523333,19.837778
"Octopus_maya",-90.51809983,20.0000263
"Octopus_maya",-90.516667,21.833333
"Octopus_maya",-90.51648189,20.67113811
"Octopus_maya",-90.4154,21.0893
"Octopus_maya",-90.38936618,20.92617605
"Octopus_maya",-90.35368227,21.27937284
"Octopus_maya",-90.23322644,21.62102465
"Octopus_maya",-90.2302,21.1045
"Octopus_maya",-90.2036,21.2527
"Octopus_maya",-90.0772,21.1772
"Octopus_maya",-90.05284727,21.41952534
"Octopus_maya",-89.9949,21.295
"Octopus_maya",-89.8757,21.4173
"Octopus_maya",-89.6631,21.5026
"Octopus_maya",-89.6475,21.3421
"Octopus_maya",-89.5049,21.3819
"Octopus_maya",-89.3652,21.6442
"Octopus_maya",-89.33223872,21.34677731
"Octopus_maya",-89.2906,21.5094
"Octopus_maya",-89.2038,21.6707
"Octopus_maya",-89.1094,21.5086
"Octopus_maya",-88.9065,21.5898
"Octopus_maya",-88.86944903,21.4281834
"Octopus_maya",-88.742,21.6522
"Octopus_maya",-88.7170214,21.47763979
"Octopus_maya",-88.4894148,21.63832236
"Octopus_maya",-88.48241203,22.09297505
"Octopus_maya",-88.4116,21.772
"Octopus_maya",-88.3876,21.9142
"Octopus_maya",-88.34420776,22.3022728
"Octopus_maya",-88.27137181,21.59088931
"Octopus_maya",-88.2502,21.8643
"Octopus_maya",-88.15066281,21.7529099
"Octopus_maya",-88.12338656,21.62012672
"Octopus_maya",-88.11905,21.98306
"Octopus_maya",-88.11762,22.12065
"Octopus_maya",-88.02211,22.40033
"Octopus_maya",-88.007,21.7864
"Octopus_maya",-87.96841,22.12191
"Octopus_maya",-87.9677,21.98071
"Octopus_maya",-87.786,21.6255
"Octopus_maya",-87.71561558,22.44216513
"Octopus_maya",-87.70164,21.98431
"Octopus_maya",-87.68523,22.12508
"Octopus_maya",-87.6595,21.7614
"Octopus_maya",-87.6233,22.26321
"Octopus_maya",-87.6146,21.5513
"Octopus_maya",-87.5237,21.6682
"Octopus_maya",-87.50506076,22.44216513
"Octopus_maya",-87.50105,22.07218
"Octopus_maya",-87.4053,21.5845
"Octopus_maya",-87.3847,21.755
"Octopus_maya",-87.34828,22.1186
"Octopus_maya",-87.33738,22.40717
"Octopus_maya",-87.27803,21.98158
"Octopus_maya",-87.27,22.26937
"Octopus_maya",-87.1739,21.6454
"Octopus_maya",-87.1543,21.825
"Octopus_maya",-87.12041,22.12014
"Octopus_maya",-87.11785,21.96929
